Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,Frk,Stl,Blk,Stp,Gul,2m,Rau,Eink
Valur,Agnar Smári Jónsson,2022/23,22,2.1,50.5,0,0,0.1,1,1.4,72.4,0.1,1,0.95,1.32,0.1,0,0,0.5,0,0,0,5.7
Valur,Agnar Smári Jónsson,2021/22,29,1.3,37,0,0,0.1,0.6,0.7,80,0.1,0.9,0.59,0.74,0.1,0,0,0.3,0,0.1,0,5.2
Valur,Agnar Smári Jónsson,2020/21,22,3.6,51.6,0,0,0.2,1.1,1.7,65.8,0.2,1.3,0.89,1.36,0.2,0,0,0.1,0,0.1,0.1,5.9
Valur,Agnar Smári Jónsson,2019/20,16,3.3,55.3,0,0,0.4,1.2,1.8,67.9,0.2,1.1,1.06,1.56,0.1,0.1,0.1,0.3,0,0.1,0,6.1
Valur,Agnar Smári Jónsson,2018/19,15,3.5,46,0,0,0.4,0.5,1,50,0.2,1,0.53,1.07,0.2,0.1,0.1,2.2,0.2,0.4,0,5.9
IBV,Agnar Smári Jónsson,2017/18,30,4.3,47.8,0,0,0.3,1.3,1.9,67.2,0.1,1.6,0.8,1.18,0.2,0.3,0.1,1.4,0.3,0.3,0,6.2
KA,Aki Egilsnes,2020/21,22,4.3,54.3,0,0,0.3,3.6,5.6,64,0.5,2.5,1.43,2.23,0.4,0.4,0.2,4.7,0,0.7,0,7.3
KA,Aki Egilsnes,2019/20,11,5,48.2,0.7,66.7,0.1,3.5,5.6,62.3,0.5,2.1,1.65,2.65,0.8,0.5,0.1,2.9,0,0.6,0,7.1
KA,Aki Egilsnes,2018/19,22,6,52.4,0.9,76,0.5,3.2,5.2,61.9,0.8,2.1,1.52,2.46,0.4,0.1,0.2,3.2,0.1,0.4,0,7.5
Grotta,Akimasa Abe,2022/23,20,0.6,42.3,0,0,0.1,0.5,0.8,64.3,0.1,0.7,0.69,1.08,0.1,0.1,0.1,1,0,0.1,0,5.2
Grotta,Akimasa Abe,2021/22,19,0.6,40.7,0,0,0.1,0.3,0.4,71.4,0.1,0.5,0.5,0.7,0.1,0.2,0,1.2,0.1,0.3,0,5.1
Valur,Alexander Peterson,2023/24,21,2.3,57,0,0,0.4,0.9,1.3,70.4,0.1,0.6,1.46,2.08,0.5,0.9,0.5,3.2,0.1,0.4,0,6.3
Hordur,Alexander Tatarintsev,2022/23,5,1.2,75,0,0,0,0.2,0.6,33.3,0,0.2,1,3,0.2,0,0,1,0,0.6,0,5.4
Grotta,Alexander Jón Másson,2018/19,15,2.3,70.8,0,0,0,0.2,0.3,60,0,0.3,0.75,1.25,0.2,0.5,0,0.1,0.1,0.5,0,5.7
Fram,Alexander Már Egan,2022/23,23,1.1,57.8,0.3,72.7,0.1,0.1,0.1,75,0,0.2,0.75,1,0.2,0.1,0,0.3,0,0,0,5.3
Selfoss,Alexander Már Egan,2021/22,27,1.9,65.8,0,0,0.1,0,0,0,0,0.2,0.2,0.4,0.5,0.4,0,0.4,0,0.2,0,5.6
